dinner,lunch,energy,breakfast,name,snack
FALSE,TRUE,583,TRUE,璞娴娌规,FALSE
FALSE,FALSE,307,TRUE,豆浆馒头鸡蛋,FALSE
FALSE,FALSE,518,TRUE,蜂蜜牛奶苹果鸡蛋,FALSE
FALSE,FALSE,487,TRUE,白粥香蕉鸡蛋面包,FALSE
FALSE,FALSE,429,TRUE,豆浆面包,FALSE
FALSE,FALSE,421,TRUE,牛奶面包,FALSE
FALSE,FALSE,503,TRUE,牛奶面包香蕉,FALSE
FALSE,FALSE,539,TRUE,牛奶面包玉米,FALSE
FALSE,FALSE,661,TRUE,豆浆肉包,FALSE
TRUE,TRUE,765,TRUE,热干面,FALSE
TRUE,TRUE,522,TRUE,挂面,FALSE
TRUE,TRUE,534,TRUE,龙须面,FALSE
TRUE,TRUE,658,TRUE,麻辣小面,FALSE
TRUE,FALSE,415,TRUE,阳春面,FALSE
TRUE,TRUE,630,FALSE,青椒炒肉+青菜,FALSE
TRUE,TRUE,716,FALSE,酱牛肉+青菜,FALSE
TRUE,TRUE,738,FALSE,麻辣鸡肉+青菜,FALSE
TRUE,TRUE,663,FALSE,酱排骨+青菜,FALSE
TRUE,TRUE,759,FALSE,炸排骨+青菜,FALSE
TRUE,TRUE,607,FALSE,苦瓜炒肉+冬瓜排骨汤,FALSE
TRUE,TRUE,733,FALSE,北京烤鸭+青菜,FALSE
TRUE,TRUE,749,FALSE,北京烤鸭+青豆,FALSE
TRUE,TRUE,785,FALSE,小炖肉+青菜,FALSE
TRUE,TRUE,650,FALSE,胡萝卜丝炒肉+青菜,FALSE
FALSE,FALSE,206,FALSE,薯片,TRUE
FALSE,FALSE,54,FALSE,棒棒糖,TRUE
FALSE,FALSE,53,FALSE,泡菜,TRUE
FALSE,FALSE,82,FALSE,萝卜条,TRUE
FALSE,FALSE,128,FALSE,豆腐干,TRUE
FALSE,FALSE,41,FALSE,辣萝卜条,TRUE
FALSE,FALSE,52,FALSE,饼干,TRUE
FALSE,FALSE,82,FALSE,牛奶饼干,TRUE
FALSE,FALSE,64,FALSE,炒花生,TRUE
FALSE,FALSE,70,FALSE,水果软糖,TRUE
